customer_id,account_age_days,login_count_last_30,login_count_last_90,days_since_last_login,content_views_last_30,content_views_last_90,support_tickets_count,support_satisfaction_score,num_features_used,monthly_active_days,avg_session_length_minutes,profile_completion_percentage
1001,986,24,25,154,43,37,17,3.9003947293424766,3,16,119.07125649743433,66
1002,1526,6,11,261,282,319,16,3.542742018700461,1,0,107.38672391778863,99
1003,1615,18,33,123,426,792,9,4.947818800964194,2,23,11.893759941921342,77
1004,1359,8,80,259,181,126,1,4.765372131012374,8,9,70.83005722417496,30
1005,1390,14,43,120,412,763,18,4.577355591581446,9,27,73.48812518187879,74
1006,1412,9,36,341,401,834,18,3.8574039154549156,9,23,33.477833100416476,71
1007,1498,16,74,98,421,797,11,1.586213013876689,7,26,52.38608952182474,41
1008,1536,1,54,66,243,219,14,,9,12,72.64753765822478,96
1009,948,24,50,135,299,510,20,2.760319819719131,8,23,116.92633556534402,50
1010,1082,4,64,65,248,728,14,,9,27,65.85122725797211,57
1011,1551,14,60,16,382,160,17,4.807287011109771,10,27,51.99128380185856,45
1012,1036,11,73,148,20,535,4,,5,11,39.874909511267006,92
1013,1208,0,18,72,401,603,13,,5,28,37.60046448403497,53
1014,1608,26,62,1,62,560,11,,1,13,60.33528976814296,69
1015,1610,18,57,172,400,386,15,4.334733861854962,3,24,20.930062890409257,88
1016,1545,24,57,341,229,152,10,,10,21,76.71278951396984,79
1017,1417,7,50,173,276,46,14,3.583666118637618,3,22,7.852470321799814,69
1018,1402,17,82,63,329,572,2,,10,17,71.3383920649122,36
1019,1123,30,72,267,96,768,15,1.0746562814796916,9,5,115.67332809554011,65
1020,1024,25,26,125,424,722,18,4.2276840965015845,10,10,51.20675450356825,35
1021,1613,15,2,174,223,184,13,,9,10,48.93126308601681,41
1022,1066,3,12,277,86,292,4,,2,4,40.281335111699576,82
1023,1437,21,21,30,314,984,10,,1,9,49.84306679185915,70
1024,975,4,52,165,132,384,3,,4,24,73.65553120071696,60
1025,922,15,65,258,197,972,3,,6,14,68.60892483453298,38
1026,1082,15,3,208,324,239,0,,10,21,16.67358289157115,46
1027,1211,9,72,208,228,85,20,4.131526350018725,3,11,67.15057178073005,51
1028,1415,25,31,275,487,433,17,1.004004234452358,8,30,100.37775524991706,67
1029,1181,20,21,0,30,955,15,,5,26,83.19974667368571,74
1030,1037,26,80,108,299,860,16,,3,23,66.42026793028698,38
1031,1356,9,11,202,357,125,4,4.995285012705871,7,6,75.20121058862155,70
1032,1634,28,87,175,325,267,14,,6,10,29.221747762537923,72
1033,1477,0,88,68,330,944,0,1.017116990728527,1,21,24.95664237077346,92
1034,926,24,50,275,41,806,20,3.154597313134298,8,21,19.192793075698567,78
1035,1208,26,76,183,198,181,0,,6,29,27.193948634910804,31
1036,1292,7,2,143,348,943,11,,10,20,39.8655312356924,58
1037,1356,7,63,185,18,287,15,3.8278720261462618,4,0,27.549981312381515,80
1038,1481,3,35,291,256,505,5,3.6393536847476606,10,21,83.47411415980639,52
1039,1420,2,75,65,381,66,4,,10,27,31.21599515017386,96
1040,1296,23,35,98,434,694,0,3.771943261555864,9,19,34.085923308717014,88
1041,1536,0,54,328,344,965,20,,6,13,102.09927867678735,82
1042,1546,8,15,348,265,477,15,4.036086858614226,4,1,36.962298531942224,83
1043,1251,17,57,161,2,401,6,4.520393835658419,1,23,30.947220381207725,84
1044,1541,30,9,127,100,168,10,3.503978747883281,2,0,60.19613831992542,33
1045,1273,18,80,171,430,256,7,,4,30,44.192226311113785,36
1046,1288,26,42,266,406,242,2,3.478266222433134,2,20,56.34246194047826,45
1047,1022,2,7,17,193,320,2,1.248008934233063,8,1,39.66917351063299,85
1048,1370,2,13,346,28,572,1,,7,12,16.02047891162132,82
1049,1596,7,76,337,319,10,14,4.180658710840515,10,19,16.646961674510635,33
1050,1170,14,66,168,300,197,3,,10,22,12.767614298924407,54
1051,1091,28,73,64,326,521,8,2.9255972124523826,10,14,26.381191782374188,47
1052,1513,25,5,30,65,319,18,4.838965405574589,6,9,72.12158096433072,99
1053,1253,24,18,75,240,316,19,2.4753199806890205,1,16,72.44058993185186,48
1054,1560,1,30,259,419,855,17,2.68824456166673,4,6,78.66380113719049,55
1055,1075,25,8,174,96,683,15,4.927693023306203,10,22,43.08172496394066,72
1056,1340,19,38,214,168,166,3,4.156765547708959,1,15,30.231676368375588,30
1057,997,20,28,354,117,477,19,,8,23,93.36006719282005,72
1058,1007,25,48,105,204,188,0,1.2949246274795132,1,17,18.24676864874531,67
1059,1270,14,24,323,299,934,11,,1,6,27.74987435096205,52
1060,1049,7,33,89,173,867,17,,4,0,25.248903795565383,63
1061,1444,29,12,10,425,693,4,4.149656322151766,2,10,112.65312197936548,69
1062,919,14,30,189,414,381,5,4.908407384128059,10,28,54.87757713358551,38
1063,1569,3,18,66,406,194,6,3.7774155847506314,6,19,54.397118928677415,61
1064,1594,29,5,315,300,193,17,,3,10,33.42473954800354,65
1065,963,27,16,260,495,598,15,,2,25,59.12673876408248,38
1066,1407,5,65,198,384,903,20,2.497064366894596,9,14,25.584829501879653,77
1067,1344,16,88,247,366,978,15,3.3247467398925443,10,20,9.209516114204769,58
1068,1559,28,25,231,441,240,12,,7,28,48.364540753570154,50
1069,1402,29,47,130,281,86,4,2.180192066565314,9,11,31.470421494213156,35
1070,1537,14,65,318,172,436,14,2.6358111014220693,8,10,36.397238552366616,33
1071,1251,5,56,119,135,660,2,1.3296740440880601,9,16,67.86496731654,40
1072,1356,25,35,116,50,121,2,3.1841042399497805,6,6,82.6373423849251,62
1073,1176,9,87,140,97,722,19,4.993620391339039,9,29,35.03057607249464,68
1074,990,9,44,206,484,415,18,1.0475628814698452,9,24,114.42121816551186,80
1075,1267,7,29,107,242,239,16,3.210461013246217,8,23,98.65573676721104,73
1076,1474,25,10,160,433,192,13,3.7917650764491517,4,14,56.74677258795927,33
1077,1261,11,17,295,447,131,9,1.0387246161639752,6,10,30.931423628344692,84
1078,1277,21,51,353,275,306,10,3.270309710066253,1,29,21.000494641620605,72
1079,1426,18,80,308,467,622,18,4.920688461700635,4,30,49.92315685247304,98
1080,954,12,24,243,55,336,18,3.5560132233722146,5,2,24.713720843166218,100
1081,1367,5,4,352,308,500,0,,2,29,115.74437394274639,66
1082,922,6,29,149,337,536,2,2.474609062627902,1,5,42.578788093226734,82
1083,941,12,20,56,66,549,13,1.2750519630012778,4,4,105.10164278487008,69
1084,977,13,90,340,243,162,19,2.2412549432364686,4,16,87.42878544148901,88
1085,1567,8,25,3,73,456,2,3.419394397961075,4,16,42.82251823458665,92
1086,1017,14,59,294,20,754,2,,8,11,85.53640206831349,68
1087,990,12,78,89,212,255,5,3.9329758117221774,8,12,109.74580597724172,53
1088,1465,22,72,48,201,715,1,,3,8,106.49392070047236,98
1089,1094,9,85,34,357,743,6,2.645112633478335,9,3,119.46138387474558,39
1090,1390,24,13,258,392,798,10,1.659356422804791,4,16,10.133043998101808,33
1091,1473,2,81,355,345,767,14,3.9838297486109084,4,12,9.344085873922678,62
1092,1167,3,90,69,167,686,14,1.2729486847683376,9,21,32.863765039010914,86
1093,1252,4,60,142,430,165,5,3.427954229727838,3,9,19.27740902815156,80
1094,1364,5,9,343,390,11,8,,6,5,29.917329826633715,34
1095,985,28,86,272,110,452,1,4.246047303762271,2,12,84.38987195832497,86
1096,936,1,76,2,24,790,12,4.715282209208601,6,29,32.43213715403046,41
1097,1070,0,53,14,7,345,6,1.2526859408786248,2,25,101.06928453223277,51
1098,1416,23,21,22,212,524,3,2.290718303980056,4,19,28.818721267935985,99
1099,939,12,54,61,118,218,3,1.694486231058674,7,20,41.36762545539332,79
1100,1308,6,58,112,33,673,8,2.475919844029514,2,28,30.134498344929032,68
1101,1583,24,76,255,52,729,17,4.688895638300926,10,5,33.97311762190603,42
1102,1406,19,41,323,356,397,4,3.5414138067280136,6,27,81.63261775258924,38
1103,1608,10,2,311,466,599,14,3.5623678190056656,4,16,72.55888295197747,31
1104,1317,7,2,315,388,918,3,3.951653135672148,4,19,14.129808559202745,47
1105,1230,11,63,151,103,155,12,,1,7,111.19205104865483,86
1106,1366,23,42,68,142,325,20,1.1584299063942685,7,20,98.46171217540157,33
1107,1573,7,42,175,124,210,17,,4,25,84.04523145461063,58
1108,1424,19,48,266,164,187,14,1.2584675213654855,8,2,114.67103684048001,36
1109,1060,20,18,104,64,93,5,4.32488351450065,4,7,63.35382311782925,84
1110,1318,23,59,159,84,738,6,,3,19,33.63148450744585,66
1111,1423,18,57,325,103,278,15,,6,12,48.437511207856936,90
1112,969,14,54,258,312,752,13,4.278415231518672,8,0,92.62186936187163,84
1113,1129,27,10,153,304,550,4,1.7027972715285933,7,14,40.17243755731253,66
1114,1235,12,71,310,246,73,10,,8,6,22.79331241067627,54
1115,982,0,1,256,373,742,11,4.7027642850822255,7,23,47.911663235458015,92
1116,1171,9,82,301,36,418,1,1.4979100342043044,10,5,27.33624303891769,85
1117,1494,30,32,178,260,726,15,2.4727221636907877,1,20,49.31331311575813,84
1118,1369,23,31,124,244,35,11,3.7057023950891517,3,8,74.62509808971835,48
1119,1498,8,31,308,296,974,5,,2,20,86.83508873314803,79
1120,1388,12,90,300,498,922,2,1.7552930079700397,7,5,100.42119997807009,62
1121,1066,22,38,256,495,545,12,3.9357337478282743,2,3,78.16072859503585,74
1122,1089,26,18,137,383,214,12,1.0256812270589317,3,26,61.54817510531497,42
1123,1371,2,89,213,268,426,20,,7,5,25.2861492193111,53
1124,1042,22,17,101,249,186,16,2.802643137189511,4,5,28.108197501174637,53
1125,1202,25,24,132,461,892,13,4.651885617507143,2,27,78.18986858505387,40
1126,1043,9,10,193,63,283,2,3.342585600458983,8,15,82.37252810941162,42
1127,1232,0,7,136,384,978,0,4.156828671324814,1,3,29.272861220452718,30
1128,1270,12,77,266,492,779,8,2.8929271327528845,6,19,54.38716645317727,77
1129,1416,21,43,161,418,245,11,2.513742792928489,1,11,105.40390471353645,42
1130,1499,0,58,357,205,742,4,,2,27,66.02237397535716,61
1131,1119,11,57,316,351,674,15,3.6409136410932224,1,20,115.11792140694585,71
1132,1135,0,81,184,447,46,10,1.9342346074212493,8,12,90.00853300428479,40
1133,1547,11,54,243,337,877,3,2.1754518928281605,4,22,21.463566161943614,96
1134,1592,28,73,258,16,130,15,2.205393219958368,9,27,58.68235021327493,87
1135,1528,30,14,246,339,553,7,,3,24,113.58413603805516,41
1136,1484,3,55,14,82,951,10,4.06523529530638,4,23,34.627282407747636,90
1137,998,30,85,63,340,139,17,2.9678351310027167,6,27,30.737714932521392,38
1138,1477,20,43,193,466,734,12,4.140327529963849,7,25,31.837256146284528,63
1139,944,3,37,44,57,91,10,4.748842602615248,2,18,47.289757986761686,70
1140,1208,30,48,295,377,1,9,,9,6,102.41863861409377,84
1141,1030,10,46,347,478,815,4,3.406470554792165,4,3,50.46092414153129,98
1142,1575,27,58,161,74,835,9,2.999330660104183,8,4,74.16852256350349,48
1143,1246,23,85,359,17,613,10,4.961340447920561,2,8,119.63758951039586,91
1144,1250,20,27,253,149,721,12,,6,4,100.20673984608146,56
1145,1030,27,28,358,376,53,5,3.9095818517150835,5,26,80.81378575357259,50
1146,1161,0,70,200,172,432,15,4.03085674021729,7,2,65.70210995954855,66
1147,1099,9,89,99,358,876,17,1.523602733713942,10,27,97.58325544166698,68
1148,1383,14,83,83,295,140,14,2.1643262772923135,3,6,30.085694398740085,55
1149,1074,23,83,4,185,743,18,,3,12,114.29578775920393,84
1150,1629,21,21,28,49,364,15,,1,3,117.73182738032226,73
1151,944,18,55,76,321,739,12,,2,7,50.61415166550857,68
1152,1523,22,76,88,334,763,12,4.964655840257562,2,24,58.32248434024315,78
1153,942,8,80,334,227,376,0,,2,3,61.26012071044797,95
1154,1091,7,2,300,293,586,15,,2,25,73.18108570446154,79
1155,1367,15,82,359,222,305,18,,6,2,87.08333681912168,98
1156,984,5,51,358,10,403,17,4.133898222809918,9,15,12.352141213965622,98
1157,1292,22,83,63,385,771,6,4.590409192959251,3,27,73.89679975770285,53
1158,1526,0,71,228,409,321,3,,10,6,80.05365754320606,41
1159,1340,17,32,17,43,127,16,,9,5,53.65090263908248,30
1160,1195,7,38,23,484,968,16,2.1735873120772116,9,14,21.083330335939063,92
1161,1479,22,40,267,466,360,19,1.8393580224493236,2,21,99.27277900386295,60
1162,1176,1,24,72,153,876,6,3.408577548029143,4,18,46.292493655536376,46
1163,1637,23,79,216,38,563,8,,3,12,57.44779113362892,62
1164,1371,21,54,355,73,548,6,,5,20,85.13233739316978,54
1165,1128,22,47,288,336,663,16,2.678745890306467,3,10,119.131634016299,85
1166,1458,12,3,309,126,79,8,,2,21,68.06241025611642,38
