customer_id,churn_flag,churn_probability_score,likely_churn_date
1001,0,0.5,
1002,1,0.8,2026-07-19
1003,1,0.5,2026-07-20
1004,1,0.5,2026-07-21
1005,1,0.8,2026-07-06
1006,0,0.5,
1007,1,0.8,2026-07-09
1008,0,0.3,
1009,1,0.8,2026-07-07
1010,1,0.8,2026-07-10
1011,1,0.5,2026-07-27
1012,1,0.8,2026-07-22
1013,1,0.5,2026-07-04
1014,0,0.1,
1015,1,0.8,2026-07-24
1016,0,0.5,
1017,1,0.8,2026-07-05
1018,0,0.3,
1019,0,0.8,
1020,0,0.8,
1021,1,0.8,2026-07-24
1022,1,0.8,2026-07-05
1023,1,0.5,2026-07-02
1024,1,0.5,2026-07-02
1025,0,0.5,
1026,0,0.5,
1027,0,0.5,
1028,1,0.8,2026-07-02
1029,0,0.1,
1030,0,0.5,
1031,1,0.8,2026-07-09
1032,1,0.8,2026-07-23
1033,0,0.8,
1034,0,0.5,
1035,1,0.8,2026-07-01
1036,1,0.8,2026-07-03
1037,0,0.8,
1038,1,0.5,2026-07-10
1039,1,0.3,2026-07-10
1040,1,0.8,2026-06-30
1041,1,0.5,2026-07-02
1042,0,0.8,
1043,1,0.8,2026-07-21
1044,0,0.5,
1045,1,0.8,2026-07-23
1046,1,0.8,2026-07-10
1047,1,0.5,2026-07-03
1048,1,0.8,2026-07-05
1049,1,0.8,2026-07-21
1050,1,0.5,2026-07-05
1051,0,0.5,
1052,0,0.5,
1053,0,0.5,
1054,1,0.5,2026-07-21
1055,1,0.8,2026-07-23
1056,1,0.5,2026-07-12
1057,1,0.5,2026-07-13
1058,1,0.8,2026-07-02
1059,0,0.8,
1060,0,0.5,
1061,1,0.5,2026-07-19
1062,0,0.8,
1063,0,0.5,
1064,0,0.5,
1065,1,0.8,2026-07-17
1066,1,0.8,2026-07-23
1067,1,0.5,2026-07-12
1068,1,0.5,2026-07-05
1069,1,0.8,2026-07-08
1070,0,0.8,
1071,1,0.8,2026-07-01
1072,0,0.5,
1073,0,0.5,
1074,1,0.8,2026-07-26
1075,1,0.8,2026-07-09
1076,1,0.5,2026-07-27
1077,1,0.8,2026-07-25
1078,1,0.5,2026-07-24
1079,0,0.5,
1080,0,0.5,
1081,1,0.5,2026-07-09
1082,0,0.5,
1083,1,0.8,2026-07-07
1084,0,0.5,
1085,1,0.3,2026-07-23
1086,0,0.8,
1087,0,0.8,
1088,0,0.5,
1089,1,0.3,2026-07-03
1090,1,0.8,2026-07-15
1091,1,0.8,2026-07-19
1092,1,0.8,2026-07-01
1093,1,0.8,2026-07-03
1094,1,0.5,2026-07-28
1095,0,0.5,
1096,1,0.5,2026-07-29
1097,1,0.8,2026-07-28
1098,0,0.1,
1099,1,0.8,2026-07-09
1100,1,0.8,2026-07-23
1101,1,0.8,2026-07-09
1102,0,0.5,
1103,0,0.5,
1104,0,0.5,
1105,1,0.8,2026-07-16
1106,1,0.8,2026-07-29
1107,1,0.5,2026-07-19
1108,1,0.8,2026-07-07
1109,0,0.5,
1110,1,0.8,2026-06-30
1111,1,0.8,2026-07-23
1112,1,0.5,2026-07-27
1113,1,0.8,2026-07-22
1114,1,0.8,2026-07-02
1115,1,0.8,2026-07-01
1116,1,0.8,2026-07-18
1117,1,0.8,2026-07-18
1118,1,0.5,2026-07-11
1119,1,0.8,2026-07-01
1120,1,0.8,2026-07-12
1121,0,0.5,
1122,1,0.8,2026-07-24
1123,0,0.5,
1124,1,0.8,2026-07-16
1125,0,0.5,
1126,1,0.8,2026-07-09
1127,1,0.5,2026-07-03
1128,1,0.8,2026-07-07
1129,1,0.5,2026-06-30
1130,1,0.8,2026-07-08
1131,1,0.8,2026-07-24
1132,1,0.8,2026-07-10
1133,1,0.5,2026-07-14
1134,0,0.8,
1135,0,0.8,
1136,0,0.1,
1137,0,0.5,
1138,0,0.8,
1139,0,0.5,
1140,0,0.5,
1141,0,0.5,
1142,1,0.5,2026-07-21
1143,0,0.5,
1144,1,0.8,2026-07-19
1145,1,0.8,2026-07-26
1146,0,0.8,
1147,1,0.8,2026-07-03
1148,0,0.3,
1149,0,0.1,
1150,1,0.5,2026-07-10
1151,1,0.8,2026-07-23
1152,0,0.5,
1153,0,0.8,
1154,1,0.8,2026-07-27
1155,0,0.8,
1156,0,0.5,
1157,1,0.5,2026-07-16
1158,1,0.8,2026-07-06
1159,0,0.1,
1160,0,0.1,
1161,1,0.8,2026-07-22
1162,1,0.8,2026-07-02
1163,1,0.8,2026-07-08
1164,0,0.5,
1165,1,0.8,2026-07-04
1166,1,0.8,2026-07-06
1167,1,0.8,2026-07-11
1168,0,0.3,
1169,1,0.5,2026-07-29
1170,1,0.8,2026-07-12
1171,0,0.8,
1172,1,0.8,2026-07-03
1173,1,0.5,2026-07-05
1174,0,0.3,
1175,0,0.1,
1176,1,0.8,2026-07-13
1177,1,0.5,2026-07-22
1178,1,0.8,2026-07-08
1179,1,0.5,2026-07-15
1180,0,0.5,
1181,1,0.8,2026-07-10
1182,1,0.8,2026-07-17
1183,1,0.8,2026-07-11
1184,1,0.5,2026-07-28
1185,1,0.8,2026-07-13
1186,1,0.8,2026-07-25
1187,1,0.8,2026-07-17
1188,0,0.5,
1189,0,0.3,
1190,0,0.5,
1191,1,0.5,2026-07-15
1192,1,0.8,2026-07-25
1193,0,0.5,
1194,1,0.3,2026-07-17
1195,1,0.5,2026-07-15
1196,0,0.5,
1197,0,0.5,
1198,1,0.5,2026-07-23
1199,1,0.3,2026-07-12
1200,1,0.5,2026-07-25
1201,0,0.8,
1202,1,0.8,2026-07-21
1203,0,0.1,
1204,1,0.8,2026-07-16
1205,1,0.8,2026-07-17
1206,1,0.8,2026-07-29
1207,1,0.8,2026-07-11
1208,0,0.5,
1209,1,0.8,2026-07-27
1210,1,0.8,2026-07-09
1211,0,0.1,
1212,1,0.8,2026-07-24
1213,0,0.5,
1214,1,0.8,2026-07-24
1215,1,0.8,2026-07-29
1216,0,0.1,
1217,1,0.8,2026-07-08
1218,1,0.5,2026-07-22
1219,0,0.5,
1220,1,0.8,2026-07-25
1221,0,0.3,
1222,1,0.5,2026-07-05
1223,0,0.5,
1224,1,0.8,2026-07-04
1225,1,0.8,2026-07-24
1226,0,0.8,
1227,1,0.5,2026-07-17
1228,0,0.5,
1229,0,0.5,
1230,1,0.5,2026-07-03
1231,0,0.3,
1232,1,0.8,2026-07-12
1233,1,0.5,2026-07-28
1234,1,0.8,2026-07-11
1235,1,0.5,2026-07-22
1236,1,0.5,2026-07-25
1237,0,0.8,
1238,0,0.5,
1239,1,0.5,2026-07-03
1240,1,0.3,2026-07-03
1241,1,0.8,2026-07-18
1242,1,0.8,2026-07-09
1243,1,0.8,2026-07-10
1244,0,0.5,
1245,1,0.8,2026-07-12
1246,0,0.1,
1247,1,0.8,2026-07-28
1248,1,0.8,2026-07-07
1249,1,0.8,2026-07-05
1250,1,0.8,2026-06-30
1251,1,0.8,2026-07-24
1252,0,0.1,
1253,0,0.8,
1254,0,0.8,
1255,1,0.8,2026-07-20
1256,1,0.3,2026-07-07
1257,0,0.8,
1258,1,0.5,2026-07-02
1259,0,0.5,
1260,1,0.8,2026-07-03
1261,0,0.8,
1262,0,0.5,
1263,0,0.8,
1264,1,0.8,2026-07-29
1265,0,0.1,
1266,1,0.8,2026-07-25
1267,1,0.5,2026-07-07
1268,0,0.1,
1269,0,0.8,
1270,0,0.8,
1271,1,0.5,2026-07-07
1272,0,0.5,
1273,0,0.5,
1274,0,0.5,
1275,0,0.5,
1276,1,0.5,2026-07-25
1277,0,0.5,
1278,1,0.8,2026-07-04
1279,0,0.5,
1280,1,0.8,2026-07-24
1281,1,0.8,2026-07-04
1282,0,0.5,
1283,0,0.5,
1284,0,0.5,
1285,1,0.8,2026-07-06
1286,0,0.5,
1287,1,0.8,2026-07-14
1288,0,0.5,
1289,0,0.5,
1290,1,0.5,2026-07-02
1291,0,0.5,
1292,0,0.5,
1293,0,0.1,
1294,0,0.5,
1295,0,0.5,
1296,0,0.5,
1297,0,0.5,
1298,1,0.8,2026-07-10
1299,1,0.5,2026-07-16
1300,0,0.5,
1301,0,0.5,
1302,1,0.8,2026-07-23
1303,0,0.8,
1304,1,0.8,2026-07-04
1305,1,0.8,2026-07-22
1306,0,0.8,
1307,1,0.8,2026-07-19
1308,1,0.8,2026-07-14
1309,1,0.8,2026-07-12
1310,1,0.5,2026-07-21
1311,0,0.5,
1312,0,0.3,
1313,0,0.5,
1314,0,0.8,
1315,0,0.1,
1316,1,0.5,2026-07-24
1317,0,0.5,
1318,1,0.8,2026-07-23
1319,1,0.5,2026-07-19
1320,0,0.5,
1321,0,0.8,
1322,1,0.5,2026-07-04
1323,1,0.8,2026-07-03
1324,0,0.1,
1325,1,0.8,2026-07-14
1326,1,0.8,2026-07-20
1327,0,0.8,
1328,1,0.8,2026-07-14
1329,1,0.5,2026-07-24
1330,1,0.8,2026-07-28
1331,1,0.5,2026-07-13
1332,1,0.8,2026-07-13
1333,0,0.8,
1334,1,0.5,2026-07-02
1335,0,0.5,
1336,1,0.8,2026-07-01
1337,0,0.5,
1338,0,0.5,
1339,1,0.8,2026-07-23
1340,1,0.5,2026-07-07
1341,1,0.8,2026-07-26
1342,1,0.8,2026-07-03
1343,1,0.8,2026-07-07
1344,1,0.8,2026-06-30
1345,0,0.5,
1346,1,0.8,2026-07-26
1347,1,0.5,2026-07-26
1348,0,0.8,
1349,1,0.8,2026-07-29
1350,1,0.8,2026-07-07
