customer_id,age,gender,country,registration_date,monthly_subscription,subscription_price
1001,56,Female,UK,2023-10-17,Standard,19.99
1002,69,Female,India,2022-04-25,Standard,19.99
1003,46,Male,Australia,2022-01-26,Basic,9.99
1004,32,Male,Canada,2022-10-09,Basic,9.99
1005,60,Male,India,2022-09-08,Standard,19.99
1006,25,Male,UK,2022-08-17,Standard,19.99
1007,78,Male,UK,2022-05-23,Basic,9.99
1008,38,Female,USA,2022-04-15,Basic,9.99
1009,56,Male,India,2023-11-24,Standard,19.99
1010,75,Male,USA,2023-07-13,Basic,9.99
1011,36,Male,Canada,2022-03-31,Basic,9.99
1012,40,Male,USA,2023-08-28,Basic,9.99
1013,28,Male,Canada,2023-03-09,Basic,9.99
1014,28,Female,UK,2022-02-02,Standard,19.99
1015,41,Male,USA,2022-01-31,Basic,9.99
1016,70,Male,USA,2022-04-06,Basic,9.99
1017,53,Male,Australia,2022-08-12,Basic,9.99
1018,57,Female,UK,2022-08-27,Basic,9.99
1019,41,Female,Australia,2023-06-02,Standard,19.99
1020,20,Male,Canada,2023-09-09,Basic,9.99
1021,39,Male,Canada,2022-01-28,Standard,19.99
1022,70,Female,UK,2023-07-29,Basic,9.99
1023,19,Female,Canada,2022-07-23,Basic,9.99
1024,41,Female,UK,2023-10-28,Basic,9.99
1025,61,Male,Canada,2023-12-20,Basic,9.99
1026,47,Male,India,2023-07-13,Standard,19.99
1027,55,Female,USA,2023-03-06,Standard,19.99
1028,19,Male,India,2022-08-14,Premium,49.99
1029,77,Female,UK,2023-04-05,Basic,9.99
1030,38,Female,UK,2023-08-27,Basic,9.99
1031,50,Female,India,2022-10-12,Basic,9.99
1032,29,Male,USA,2022-01-07,Standard,19.99
1033,75,Female,USA,2022-06-13,Basic,9.99
1034,39,Female,Australia,2023-12-16,Standard,19.99
1035,78,Male,Canada,2023-03-09,Basic,9.99
1036,61,Female,Australia,2022-12-15,Basic,9.99
1037,42,Male,USA,2022-10-12,Premium,49.99
1038,66,Female,India,2022-06-09,Standard,19.99
1039,44,Male,Canada,2022-08-09,Standard,19.99
1040,76,Female,India,2022-12-11,Standard,19.99
1041,59,Female,Australia,2022-04-15,Standard,19.99
1042,45,Female,UK,2022-04-05,Basic,9.99
1043,77,Female,India,2023-01-25,Standard,19.99
1044,33,Female,Australia,2022-04-10,Basic,9.99
1045,32,Male,Australia,2023-01-03,Standard,19.99
1046,79,Male,Australia,2022-12-19,Standard,19.99
1047,79,Female,UK,2023-09-11,Standard,19.99
1048,64,Female,UK,2022-09-28,Standard,19.99
1049,79,Female,UK,2022-02-14,Standard,19.99
1050,68,Male,Canada,2023-04-16,Basic,9.99
1051,61,Male,UK,2023-07-04,Basic,9.99
1052,72,Female,UK,2022-05-08,Basic,9.99
1053,69,Male,UK,2023-01-23,Standard,19.99
1054,74,Female,India,2022-03-22,Premium,49.99
1055,20,Female,UK,2023-07-20,Basic,9.99
1056,54,Female,Canada,2022-10-28,Basic,9.99
1057,68,Male,Australia,2023-10-06,Standard,19.99
1058,24,Female,India,2023-09-26,Premium,49.99
1059,38,Female,USA,2023-01-06,Standard,19.99
1060,26,Female,UK,2023-08-15,Basic,9.99
1061,56,Male,Australia,2022-07-16,Premium,49.99
1062,35,Male,Australia,2023-12-23,Premium,49.99
1063,21,Male,India,2022-03-13,Basic,9.99
1064,42,Female,USA,2022-02-16,Premium,49.99
1065,77,Male,Canada,2023-11-09,Standard,19.99
1066,31,Female,Australia,2022-08-22,Basic,9.99
1067,67,Male,Australia,2022-10-24,Standard,19.99
1068,75,Female,Australia,2022-03-23,Premium,49.99
1069,26,Male,Australia,2022-08-27,Standard,19.99
1070,43,Female,India,2022-04-14,Basic,9.99
1071,70,Male,USA,2023-01-25,Premium,49.99
1072,19,Male,Australia,2022-10-12,Basic,9.99
1073,37,Male,Canada,2023-04-10,Standard,19.99
1074,45,Female,Canada,2023-10-13,Standard,19.99
1075,64,Male,UK,2023-01-09,Basic,9.99
1076,77,Male,Australia,2022-06-16,Basic,9.99
1077,24,Male,Australia,2023-01-15,Premium,49.99
1078,61,Male,Australia,2022-12-30,Standard,19.99
1079,78,Female,Australia,2022-08-03,Standard,19.99
1080,25,Male,Australia,2023-11-18,Standard,19.99
1081,64,Female,Canada,2022-10-01,Standard,19.99
1082,52,Female,USA,2023-12-20,Standard,19.99
1083,31,Female,USA,2023-12-01,Basic,9.99
1084,34,Female,UK,2023-10-26,Basic,9.99
1085,53,Male,Canada,2022-03-15,Premium,49.99
1086,67,Female,Australia,2023-09-16,Standard,19.99
1087,57,Female,USA,2023-10-13,Basic,9.99
1088,21,Female,India,2022-06-25,Premium,49.99
1089,19,Female,India,2023-07-01,Standard,19.99
1090,79,Male,India,2022-09-08,Basic,9.99
1091,23,Male,Australia,2022-06-17,Premium,49.99
1092,71,Female,Australia,2023-04-19,Standard,19.99
1093,59,Female,UK,2023-01-24,Basic,9.99
1094,21,Female,UK,2022-10-04,Basic,9.99
1095,71,Male,UK,2023-10-18,Standard,19.99
1096,46,Male,India,2023-12-06,Standard,19.99
1097,35,Male,Australia,2023-07-25,Basic,9.99
1098,43,Male,India,2022-08-13,Basic,9.99
1099,61,Male,UK,2023-12-03,Basic,9.99
1100,51,Female,Australia,2022-11-29,Standard,19.99
1101,27,Male,Canada,2022-02-27,Basic,9.99
1102,79,Male,USA,2022-08-23,Basic,9.99
1103,53,Female,USA,2022-02-02,Standard,19.99
1104,31,Male,UK,2022-11-20,Standard,19.99
1105,48,Male,India,2023-02-15,Standard,19.99
1106,65,Male,Canada,2022-10-02,Basic,9.99
1107,32,Female,Australia,2022-03-09,Standard,19.99
1108,25,Male,India,2022-08-05,Basic,9.99
1109,31,Female,UK,2023-08-04,Premium,49.99
1110,40,Female,India,2022-11-19,Standard,19.99
1111,77,Male,UK,2022-08-06,Basic,9.99
1112,74,Male,USA,2023-11-03,Basic,9.99
1113,79,Male,USA,2023-05-27,Standard,19.99
1114,57,Male,India,2023-02-10,Standard,19.99
1115,38,Female,Canada,2023-10-21,Standard,19.99
1116,33,Male,Australia,2023-04-15,Premium,49.99
1117,62,Female,UK,2022-05-27,Standard,19.99
1118,35,Female,Australia,2022-09-29,Standard,19.99
1119,64,Female,USA,2022-05-23,Premium,49.99
1120,70,Female,Canada,2022-09-10,Standard,19.99
1121,41,Female,Canada,2023-07-29,Standard,19.99
1122,43,Male,Australia,2023-07-06,Premium,49.99
1123,42,Female,USA,2022-09-27,Basic,9.99
1124,77,Female,Australia,2023-08-22,Basic,9.99
1125,77,Male,India,2023-03-15,Premium,49.99
1126,77,Male,Canada,2023-08-21,Standard,19.99
1127,62,Female,Canada,2023-02-13,Premium,49.99
1128,58,Female,India,2023-01-06,Basic,9.99
1129,46,Male,USA,2022-08-13,Standard,19.99
1130,32,Female,Canada,2022-05-22,Basic,9.99
1131,62,Male,UK,2023-06-06,Standard,19.99
1132,18,Male,UK,2023-05-21,Basic,9.99
1133,42,Female,USA,2022-04-04,Basic,9.99
1134,24,Male,India,2022-02-18,Basic,9.99
1135,26,Female,Australia,2022-04-23,Standard,19.99
1136,41,Female,USA,2022-06-06,Basic,9.99
1137,18,Female,Australia,2023-10-05,Basic,9.99
1138,61,Male,USA,2022-06-13,Basic,9.99
1139,25,Female,UK,2023-11-28,Basic,9.99
1140,41,Male,India,2023-03-09,Premium,49.99
1141,28,Female,UK,2023-09-03,Basic,9.99
1142,68,Female,India,2022-03-07,Basic,9.99
1143,34,Male,Australia,2023-01-30,Premium,49.99
1144,25,Female,USA,2023-01-26,Standard,19.99
1145,52,Female,Canada,2023-09-03,Standard,19.99
1146,52,Male,Canada,2023-04-25,Standard,19.99
1147,50,Male,India,2023-06-26,Premium,49.99
1148,76,Male,India,2022-09-15,Basic,9.99
1149,22,Female,UK,2023-07-21,Premium,49.99
1150,59,Male,Canada,2022-01-12,Premium,49.99
1151,56,Male,UK,2023-11-28,Standard,19.99
1152,75,Female,Australia,2022-04-28,Standard,19.99
1153,58,Male,Canada,2023-11-30,Standard,19.99
1154,45,Female,Australia,2023-07-04,Basic,9.99
1155,24,Female,USA,2022-10-01,Basic,9.99
1156,26,Male,UK,2023-10-19,Premium,49.99
1157,25,Female,India,2022-12-15,Standard,19.99
1158,29,Male,Canada,2022-04-25,Basic,9.99
1159,51,Male,UK,2022-10-28,Standard,19.99
1160,50,Male,India,2023-03-22,Standard,19.99
1161,65,Male,USA,2022-06-11,Basic,9.99
1162,72,Female,Canada,2023-04-10,Standard,19.99
1163,40,Female,Australia,2022-01-04,Standard,19.99
1164,79,Male,USA,2022-09-27,Basic,9.99
1165,41,Male,India,2023-05-28,Premium,49.99
1166,54,Female,Canada,2022-07-02,Basic,9.99
1167,52,Male,Canada,2023-06-04,Standard,19.99
1168,61,Female,USA,2022-04-19,Basic,9.99
1169,57,Male,Canada,2023-10-03,Standard,19.99
1170,39,Female,India,2022-11-02,Basic,9.99
1171,44,Female,USA,2023-10-17,Basic,9.99
1172,52,Female,Australia,2023-06-04,Premium,49.99
1173,18,Male,USA,2023-09-16,Basic,9.99
1174,52,Male,USA,2022-07-23,Standard,19.99
1175,54,Male,Australia,2022-06-06,Standard,19.99
1176,64,Male,India,2023-01-18,Premium,49.99
1177,31,Male,UK,2022-06-15,Standard,19.99
1178,20,Female,UK,2023-07-07,Basic,9.99
1179,18,Female,Australia,2023-06-28,Basic,9.99
1180,22,Female,India,2022-01-01,Premium,49.99
1181,43,Female,Canada,2023-09-06,Premium,49.99
1182,72,Female,Australia,2022-11-28,Basic,9.99
1183,31,Female,UK,2023-05-16,Standard,19.99
1184,56,Female,India,2022-01-20,Standard,19.99
1185,44,Male,USA,2022-04-25,Premium,49.99
1186,26,Female,India,2023-01-07,Premium,49.99
1187,32,Male,India,2022-11-11,Premium,49.99
1188,32,Female,UK,2022-09-03,Premium,49.99
1189,43,Female,UK,2022-03-01,Premium,49.99
1190,59,Male,Canada,2022-09-04,Basic,9.99
1191,77,Female,Canada,2023-08-04,Premium,49.99
1192,30,Male,Australia,2022-03-22,Standard,19.99
1193,68,Female,USA,2022-03-29,Premium,49.99
1194,49,Male,Canada,2023-05-13,Standard,19.99
1195,56,Female,UK,2022-03-12,Basic,9.99
1196,66,Male,India,2023-06-30,Standard,19.99
1197,69,Male,Australia,2022-05-09,Standard,19.99
1198,78,Female,Canada,2022-05-12,Basic,9.99
1199,49,Female,India,2023-11-07,Basic,9.99
1200,21,Male,India,2023-05-02,Standard,19.99
1201,47,Female,Canada,2023-07-17,Basic,9.99
1202,54,Male,USA,2022-06-19,Basic,9.99
1203,40,Female,USA,2022-09-29,Basic,9.99
1204,56,Male,Australia,2023-06-25,Premium,49.99
1205,62,Female,USA,2023-09-14,Standard,19.99
1206,32,Male,Australia,2023-03-10,Basic,9.99
1207,60,Female,UK,2022-08-05,Standard,19.99
1208,46,Male,Canada,2023-07-07,Standard,19.99
1209,53,Male,India,2023-12-08,Basic,9.99
1210,30,Female,Australia,2022-07-25,Basic,9.99
