customer_id,total_months_subscribed,payments_made,failed_payment_count,days_overdue,total_revenue,avg_monthly_revenue,upgrade_count,downgrade_count,billing_cycle_day
1001,32,32,1,78,639.68,19.99,3,3,17
1002,50,49,2,79,979.51,19.59,0,0,1
1003,53,52,0,0,519.48,9.8,5,1,5
1004,45,45,1,79,449.55,9.99,3,1,25
1005,46,44,2,42,879.56,19.12,3,3,5
1006,47,46,1,68,919.54,19.56,1,2,4
1007,49,49,3,39,489.51,9.99,5,3,24
1008,51,50,1,83,499.5,9.79,0,0,20
1009,31,29,2,87,579.71,18.7,2,0,10
1010,36,35,3,46,349.65,9.71,0,2,6
1011,51,51,2,53,509.49,9.99,3,1,18
1012,34,34,2,20,339.66,9.99,2,1,25
1013,40,38,1,12,379.62,9.49,3,3,7
1014,53,53,0,0,1059.47,19.99,2,3,14
1015,53,52,3,70,519.48,9.8,5,1,20
1016,51,49,0,0,489.51,9.6,4,1,23
1017,47,47,2,36,469.53,9.99,0,1,23
1018,46,46,0,0,459.54,9.99,0,0,7
1019,37,37,2,79,739.63,19.99,0,1,6
1020,34,33,2,77,329.67,9.7,0,3,3
1021,53,53,3,18,1059.47,19.99,1,1,21
1022,35,35,2,84,349.65,9.99,1,0,8
1023,47,45,3,62,449.55,9.56,4,1,6
1024,32,32,0,0,319.68,9.99,3,3,25
1025,30,28,1,50,279.72,9.32,5,0,4
1026,36,36,1,84,719.64,19.99,2,1,24
1027,40,38,1,21,759.62,18.99,2,2,15
1028,47,47,2,38,2349.53,49.99,2,2,21
1029,39,38,1,48,379.62,9.73,4,1,12
1030,34,33,0,0,329.67,9.7,0,1,6
1031,45,45,3,60,449.55,9.99,4,3,28
1032,54,54,3,54,1079.46,19.99,0,0,8
1033,49,47,0,0,469.53,9.58,2,2,10
1034,30,29,0,0,579.71,19.32,0,2,18
1035,40,40,3,68,399.6,9.99,4,0,14
1036,43,41,3,51,409.59,9.53,3,0,24
1037,45,44,2,90,2199.56,48.88,4,0,13
1038,49,48,1,59,959.52,19.58,4,1,27
1039,47,45,0,0,899.55,19.14,1,0,2
1040,43,42,3,14,839.58,19.53,3,2,8
1041,51,51,0,0,1019.49,19.99,5,2,25
1042,51,50,3,61,499.5,9.79,2,2,15
1043,41,40,3,19,799.6,19.5,0,3,11
1044,51,50,0,0,499.5,9.79,5,3,25
1045,42,41,3,1,819.59,19.51,5,1,28
1046,42,40,2,43,799.6,19.04,4,2,5
1047,34,33,3,16,659.67,19.4,1,0,21
1048,45,44,3,55,879.56,19.55,0,0,4
1049,53,52,2,16,1039.48,19.61,1,1,10
1050,39,37,1,26,369.63,9.48,5,0,12
1051,36,34,1,32,339.66,9.44,3,3,16
1052,50,50,2,61,499.5,9.99,2,3,16
1053,41,39,3,3,779.61,19.01,0,0,7
1054,52,50,0,0,2499.5,48.07,3,3,8
1055,35,33,3,88,329.67,9.42,3,0,22
1056,44,42,1,71,419.58,9.54,0,2,23
1057,33,32,1,36,639.68,19.38,0,3,14
1058,33,31,3,22,1549.69,46.96,4,2,11
1059,42,40,2,43,799.6,19.04,3,2,13
1060,34,34,1,38,339.66,9.99,4,1,21
1061,48,46,3,62,2299.54,47.91,4,1,9
1062,30,30,2,82,1499.7,49.99,1,1,7
1063,52,50,3,19,499.5,9.61,2,0,26
